,year,STATEFP,COUNTYFP,weighted,Name,MedianHouseValue
0,2010,8,1,1.275267538644471,"Adams County, Colorado",196100.0
1,2010,8,1,1.275267538644471,"Adams County, Colorado",196100.0
2,2010,8,3,1.0,"Alamosa County, Colorado",131100.0
3,2010,8,3,1.0,"Alamosa County, Colorado",131100.0
4,2010,8,5,1.2168738898756661,"Arapahoe County, Colorado",232300.0
5,2010,8,5,1.2168738898756661,"Arapahoe County, Colorado",232300.0
6,2010,8,7,1.1595744680851063,"Archuleta County, Colorado",304400.0
7,2010,8,7,1.1595744680851063,"Archuleta County, Colorado",304400.0
8,2010,8,9,1.0,"Baca County, Colorado",72700.0
9,2010,8,9,1.0,"Baca County, Colorado",72700.0
10,2010,8,11,1.15625,"Bent County, Colorado",69400.0
11,2010,8,11,1.15625,"Bent County, Colorado",69400.0
12,2010,8,13,1.2713333333333334,"Boulder County, Colorado",353300.0
13,2010,8,13,1.2713333333333334,"Boulder County, Colorado",353300.0
14,2010,8,14,1.3191489361702127,"Broomfield County, Colorado",270500.0
15,2010,8,14,1.3191489361702127,"Broomfield County, Colorado",270500.0
16,2010,8,15,1.0,"Chaffee County, Colorado",248100.0
17,2010,8,15,1.0,"Chaffee County, Colorado",248100.0
18,2010,8,17,1.2083333333333333,"Cheyenne County, Colorado",80700.0
19,2010,8,17,1.2083333333333333,"Cheyenne County, Colorado",80700.0
20,2010,8,19,1.25,"Clear Creek County, Colorado",280000.0
21,2010,8,19,1.25,"Clear Creek County, Colorado",280000.0
22,2010,8,21,1.0238095238095237,"Conejos County, Colorado",112200.0
23,2010,8,21,1.0238095238095237,"Conejos County, Colorado",112200.0
24,2010,8,23,1.0,"Costilla County, Colorado",105200.0
25,2010,8,23,1.0,"Costilla County, Colorado",105200.0
26,2010,8,25,1.2352941176470589,"Crowley County, Colorado",81400.0
27,2010,8,25,1.2352941176470589,"Crowley County, Colorado",81400.0
28,2010,8,27,1.0714285714285714,"Custer County, Colorado",218400.0
29,2010,8,27,1.0714285714285714,"Custer County, Colorado",218400.0
30,2010,8,29,1.1329787234042554,"Delta County, Colorado",193900.0
31,2010,8,29,1.1329787234042554,"Delta County, Colorado",193900.0
32,2010,8,31,1.2457436556376487,"Denver County, Colorado",240900.0
33,2010,8,31,1.2457436556376487,"Denver County, Colorado",240900.0
34,2010,8,33,1.0,"Dolores County, Colorado",136200.0
35,2010,8,33,1.0,"Dolores County, Colorado",136200.0
36,2010,8,35,1.1753312945973498,"Douglas County, Colorado",338700.0
37,2010,8,35,1.1753312945973498,"Douglas County, Colorado",338700.0
38,2010,8,37,1.2238805970149254,"Eagle County, Colorado",530900.0
39,2010,8,37,1.2238805970149254,"Eagle County, Colorado",530900.0
40,2010,8,39,1.0789473684210527,"Elbert County, Colorado",346400.0
41,2010,8,39,1.0789473684210527,"Elbert County, Colorado",346400.0
42,2010,8,41,1.0621665982765696,"El Paso County, Colorado",216800.0
43,2010,8,41,1.0621665982765696,"El Paso County, Colorado",216800.0
44,2010,8,43,1.0,"Fremont County, Colorado",152800.0
45,2010,8,43,1.0,"Fremont County, Colorado",152800.0
46,2010,8,45,1.269406392694064,"Garfield County, Colorado",341600.0
47,2010,8,45,1.269406392694064,"Garfield County, Colorado",341600.0
48,2010,8,47,1.2727272727272727,"Gilpin County, Colorado",316400.0
49,2010,8,47,1.2727272727272727,"Gilpin County, Colorado",316400.0
50,2010,8,49,1.0849056603773586,"Grand County, Colorado",269100.0
51,2010,8,49,1.0849056603773586,"Grand County, Colorado",269100.0
52,2010,8,51,1.25,"Gunnison County, Colorado",335100.0
53,2010,8,51,1.25,"Gunnison County, Colorado",335100.0
54,2010,8,53,1.5,"Hinsdale County, Colorado",275000.0
55,2010,8,53,1.5,"Hinsdale County, Colorado",275000.0
56,2010,8,55,1.0588235294117647,"Huerfano County, Colorado",154900.0
57,2010,8,55,1.0588235294117647,"Huerfano County, Colorado",154900.0
58,2010,8,57,1.1666666666666667,"Jackson County, Colorado",144300.0
59,2010,8,57,1.1666666666666667,"Jackson County, Colorado",144300.0
60,2010,8,59,1.2622321067529316,"Jefferson County, Colorado",259300.0
61,2010,8,59,1.2622321067529316,"Jefferson County, Colorado",259300.0
62,2010,8,61,1.2058823529411764,"Kiowa County, Colorado",62200.0
63,2010,8,61,1.2058823529411764,"Kiowa County, Colorado",62200.0
64,2010,8,63,1.0857142857142856,"Kit Carson County, Colorado",102300.0
65,2010,8,63,1.0857142857142856,"Kit Carson County, Colorado",102300.0
66,2010,8,65,1.375,"Lake County, Colorado",168200.0
67,2010,8,65,1.375,"Lake County, Colorado",168200.0
68,2010,8,67,1.273972602739726,"La Plata County, Colorado",343400.0
69,2010,8,67,1.273972602739726,"La Plata County, Colorado",343400.0
70,2010,8,69,1.0537663755458515,"Larimer County, Colorado",246000.0
71,2010,8,69,1.0537663755458515,"Larimer County, Colorado",246000.0
72,2010,8,71,1.1746987951807228,"Las Animas County, Colorado",142300.0
73,2010,8,71,1.1746987951807228,"Las Animas County, Colorado",142300.0
74,2010,8,73,1.0568181818181819,"Lincoln County, Colorado",103700.0
75,2010,8,73,1.0568181818181819,"Lincoln County, Colorado",103700.0
76,2010,8,75,1.0880681818181819,"Logan County, Colorado",119900.0
77,2010,8,75,1.0880681818181819,"Logan County, Colorado",119900.0
78,2010,8,77,1.1136363636363635,"Mesa County, Colorado",221000.0
79,2010,8,77,1.1136363636363635,"Mesa County, Colorado",221000.0
80,2010,8,79,1.5,"Mineral County, Colorado",258300.0
81,2010,8,79,1.5,"Mineral County, Colorado",258300.0
82,2010,8,81,1.1593406593406594,"Moffat County, Colorado",166300.0
83,2010,8,81,1.1593406593406594,"Moffat County, Colorado",166300.0
84,2010,8,83,1.1363636363636365,"Montezuma County, Colorado",191500.0
85,2010,8,83,1.1363636363636365,"Montezuma County, Colorado",191500.0
86,2010,8,85,1.1513513513513514,"Montrose County, Colorado",201700.0
87,2010,8,85,1.1513513513513514,"Montrose County, Colorado",201700.0
88,2010,8,87,1.1908127208480566,"Morgan County, Colorado",136200.0
89,2010,8,87,1.1908127208480566,"Morgan County, Colorado",136200.0
90,2010,8,89,1.3630952380952381,"Otero County, Colorado",93800.0
91,2010,8,89,1.3630952380952381,"Otero County, Colorado",93800.0
92,2010,8,91,1.04,"Ouray County, Colorado",405800.0
93,2010,8,91,1.04,"Ouray County, Colorado",405800.0
94,2010,8,93,1.1451612903225807,"Park County, Colorado",245800.0
95,2010,8,93,1.1451612903225807,"Park County, Colorado",245800.0
96,2010,8,95,1.1590909090909092,"Phillips County, Colorado",111600.0
97,2010,8,95,1.1590909090909092,"Phillips County, Colorado",111600.0
98,2010,8,97,1.3076923076923077,"Pitkin County, Colorado",670200.0
99,2010,8,97,1.3076923076923077,"Pitkin County, Colorado",670200.0
100,2010,8,99,1.14,"Prowers County, Colorado",83000.0
101,2010,8,99,1.14,"Prowers County, Colorado",83000.0
102,2010,8,101,1.2191901408450705,"Pueblo County, Colorado",140700.0
103,2010,8,101,1.2191901408450705,"Pueblo County, Colorado",140700.0
104,2010,8,103,1.1818181818181819,"Rio Blanco County, Colorado",193300.0
105,2010,8,103,1.1818181818181819,"Rio Blanco County, Colorado",193300.0
106,2010,8,105,1.225,"Rio Grande County, Colorado",129300.0
107,2010,8,105,1.225,"Rio Grande County, Colorado",129300.0
108,2010,8,107,1.191275167785235,"Routt County, Colorado",422300.0
109,2010,8,107,1.191275167785235,"Routt County, Colorado",422300.0
110,2010,8,109,1.1470588235294117,"Saguache County, Colorado",120500.0
111,2010,8,109,1.1470588235294117,"Saguache County, Colorado",120500.0
112,2010,8,111,1.5,"San Juan County, Colorado",252000.0
113,2010,8,111,1.5,"San Juan County, Colorado",252000.0
114,2010,8,113,1.1666666666666667,"San Miguel County, Colorado",493000.0
115,2010,8,113,1.1666666666666667,"San Miguel County, Colorado",493000.0
116,2010,8,115,1.0735294117647058,"Sedgwick County, Colorado",83100.0
117,2010,8,115,1.0735294117647058,"Sedgwick County, Colorado",83100.0
118,2010,8,117,1.2226027397260273,"Summit County, Colorado",465700.0
119,2010,8,117,1.2226027397260273,"Summit County, Colorado",465700.0
120,2010,8,119,1.0235294117647058,"Teller County, Colorado",226000.0
121,2010,8,119,1.0235294117647058,"Teller County, Colorado",226000.0
122,2010,8,121,1.2142857142857142,"Washington County, Colorado",114300.0
123,2010,8,121,1.2142857142857142,"Washington County, Colorado",114300.0
124,2010,8,123,1.1203703703703705,"Weld County, Colorado",195700.0
125,2010,8,123,1.1203703703703705,"Weld County, Colorado",195700.0
126,2010,8,125,1.188118811881188,"Yuma County, Colorado",116200.0
127,2010,8,125,1.188118811881188,"Yuma County, Colorado",116200.0
128,2011,8,1,1.4893319342427422,"Adams County, Colorado",192300.0
129,2011,8,1,1.4893319342427422,"Adams County, Colorado",192300.0
130,2011,8,3,1.551056338028169,"Alamosa County, Colorado",130400.0
131,2011,8,3,1.551056338028169,"Alamosa County, Colorado",130400.0
132,2011,8,5,1.5516240051624006,"Arapahoe County, Colorado",231200.0
133,2011,8,5,1.5516240051624006,"Arapahoe County, Colorado",231200.0
134,2011,8,7,1.293010752688172,"Archuleta County, Colorado",303800.0
135,2011,8,7,1.293010752688172,"Archuleta County, Colorado",303800.0
136,2011,8,9,1.2401315789473684,"Baca County, Colorado",71500.0
137,2011,8,9,1.2401315789473684,"Baca County, Colorado",71500.0
138,2011,8,11,1.2960893854748603,"Bent County, Colorado",74300.0
139,2011,8,11,1.2960893854748603,"Bent County, Colorado",74300.0
140,2011,8,13,1.5412457912457913,"Boulder County, Colorado",353000.0
141,2011,8,13,1.5412457912457913,"Boulder County, Colorado",353000.0
142,2011,8,14,1.5943152454780363,"Broomfield County, Colorado",270500.0
143,2011,8,14,1.5943152454780363,"Broomfield County, Colorado",270500.0
144,2011,8,15,1.6367521367521367,"Chaffee County, Colorado",244600.0
145,2011,8,15,1.6367521367521367,"Chaffee County, Colorado",244600.0
146,2011,8,17,1.2787610619469028,"Cheyenne County, Colorado",83200.0
147,2011,8,17,1.2787610619469028,"Cheyenne County, Colorado",83200.0
148,2011,8,19,1.6071428571428572,"Clear Creek County, Colorado",279600.0
149,2011,8,19,1.6071428571428572,"Clear Creek County, Colorado",279600.0
150,2011,8,21,1.524,"Conejos County, Colorado",110200.0
151,2011,8,21,1.524,"Conejos County, Colorado",110200.0
152,2011,8,23,1.478021978021978,"Costilla County, Colorado",102600.0
153,2011,8,23,1.478021978021978,"Costilla County, Colorado",102600.0
154,2011,8,25,1.3060344827586208,"Crowley County, Colorado",83600.0
155,2011,8,25,1.3060344827586208,"Crowley County, Colorado",83600.0
156,2011,8,27,1.480263157894737,"Custer County, Colorado",225600.0
157,2011,8,27,1.480263157894737,"Custer County, Colorado",225600.0
158,2011,8,29,1.312169312169312,"Delta County, Colorado",198400.0
159,2011,8,29,1.312169312169312,"Delta County, Colorado",198400.0
160,2011,8,31,1.5180657918389358,"Denver County, Colorado",243400.0
161,2011,8,31,1.5180657918389358,"Denver County, Colorado",243400.0
162,2011,8,33,1.2857142857142858,"Dolores County, Colorado",130800.0
163,2011,8,33,1.2857142857142858,"Dolores County, Colorado",130800.0
164,2011,8,35,1.6102985984156002,"Douglas County, Colorado",337900.0
165,2011,8,35,1.6102985984156002,"Douglas County, Colorado",337900.0
166,2011,8,37,1.4579439252336448,"Eagle County, Colorado",530200.0
167,2011,8,37,1.4579439252336448,"Eagle County, Colorado",530200.0
168,2011,8,39,1.4958333333333333,"Elbert County, Colorado",344200.0
169,2011,8,39,1.4958333333333333,"Elbert County, Colorado",344200.0
170,2011,8,41,1.48927805575411,"El Paso County, Colorado",217000.0
171,2011,8,41,1.48927805575411,"El Paso County, Colorado",217000.0
172,2011,8,43,1.4356589147286822,"Fremont County, Colorado",158200.0
173,2011,8,43,1.4356589147286822,"Fremont County, Colorado",158200.0
174,2011,8,45,1.3302469135802468,"Garfield County, Colorado",343700.0
175,2011,8,45,1.3302469135802468,"Garfield County, Colorado",343700.0
